year,round,event_name,location,country,n_starters,n_classified,n_dnf,n_laps,total_abs_pos_change,mean_abs_pos_change,max_pos_gained,pos_change_std,n_pit_stops,n_compounds_used,avg_air_temp,avg_track_temp,avg_humidity,avg_wind_speed,rain_pct,any_rain,circuit_length_km,circuit_turns,circuit_type,pit_stops_per_driver,high_action
2023,17,Qatar Grand Prix,Lusail,Qatar,20,20,3,57,84.0,4.2,10.0,6.03,55,3,31.5,36.9,73.2,0.9,0.0,False,5.38,16,permanent,2.75,0
2023,18,United States Grand Prix,Austin,United States,20,20,5,56,108.0,5.4,13.0,7.74,39,3,30.0,40.6,41.9,3.3,0.0,False,5.513,20,permanent,1.95,1
2023,19,Mexico City Grand Prix,Mexico City,Mexico,20,19,5,71,81.0,4.26,12.0,5.74,42,3,25.5,45.6,23.6,1.5,0.0,False,4.304,17,permanent,2.1,0
2023,20,São Paulo Grand Prix,São Paulo,Brazil,20,20,6,71,94.0,4.7,8.0,6.24,70,2,20.5,46.8,58.2,1.3,0.005,True,4.309,15,permanent,3.5,1
2023,21,Las Vegas Grand Prix,Las Vegas,United States,20,20,3,50,112.0,5.6,14.0,7.0,31,3,18.1,18.0,47.4,2.3,0.0,False,6.201,17,street,1.55,1
2023,22,Abu Dhabi Grand Prix,Yas Island,Abu Dhabi,20,20,1,58,42.0,2.1,5.0,2.9,38,3,27.0,33.5,51.0,1.8,0.0,False,5.281,16,permanent,1.9,0
2024,1,Bahrain Grand Prix,Sakhir,Bahrain,20,20,0,57,46.0,2.3,6.0,2.83,43,2,18.2,23.7,48.8,0.8,0.0,False,5.412,15,permanent,2.15,0
2024,2,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,20,20,2,50,50.0,2.5,5.0,3.43,20,3,25.5,31.6,62.3,1.3,0.0,False,6.174,27,street,1.0,0
2024,3,Australian Grand Prix,Melbourne,Australia,19,19,3,58,74.0,3.89,7.0,5.92,37,3,20.6,38.4,44.5,1.0,0.0,False,5.278,14,street,1.9473684210526316,0
2024,4,Japanese Grand Prix,Suzuka,Japan,20,20,3,53,44.0,2.2,5.0,3.13,55,3,21.7,37.5,43.4,2.2,0.0,False,5.807,18,permanent,2.75,0
2024,5,Chinese Grand Prix,Shanghai,China,20,20,3,56,58.0,2.9,9.0,3.99,41,3,18.6,29.8,66.1,1.7,0.0,False,5.451,16,permanent,2.05,0
2024,6,Miami Grand Prix,Miami,United States,20,20,1,57,56.0,2.8,6.0,3.6,28,3,28.5,44.7,59.0,3.1,0.0,False,5.412,19,semi-permanent,1.4,0
2024,7,Emilia Romagna Grand Prix,Imola,Italy,20,20,1,63,42.0,2.1,6.0,2.79,28,3,25.1,42.0,48.4,2.1,0.0,False,4.909,19,permanent,1.4,0
2024,9,Canadian Grand Prix,Montréal,Canada,20,20,5,70,80.0,4.0,8.0,4.86,45,4,17.8,24.6,73.4,1.2,0.274,True,4.361,14,semi-permanent,2.25,0
2024,10,Spanish Grand Prix,Barcelona,Spain,20,20,0,66,30.0,1.5,3.0,1.92,42,3,24.1,41.1,63.4,2.1,0.006,True,4.675,16,permanent,2.1,0
2024,11,Austrian Grand Prix,Spielberg,Austria,20,20,0,71,64.0,3.2,5.0,5.02,46,3,29.4,46.4,35.0,1.7,0.007,True,4.318,10,permanent,2.3,0
2024,12,British Grand Prix,Silverstone,United Kingdom,20,20,2,52,52.0,2.6,5.0,4.69,46,4,15.8,27.7,67.3,1.3,0.347,True,5.891,18,permanent,2.3,0
2024,13,Hungarian Grand Prix,Budapest,Hungary,20,20,1,70,50.0,2.5,9.0,3.57,41,3,28.8,44.9,46.9,1.2,0.0,False,4.381,14,permanent,2.05,0
2024,14,Belgian Grand Prix,Spa-Francorchamps,Belgium,20,20,2,44,56.0,2.8,7.0,4.29,35,3,21.3,42.3,49.6,1.7,0.0,False,7.004,19,permanent,1.75,0
2024,15,Dutch Grand Prix,Zandvoort,Netherlands,20,20,0,72,50.0,2.5,6.0,3.28,26,3,19.0,30.8,61.0,4.6,0.0,False,4.259,14,permanent,1.3,0
2024,16,Italian Grand Prix,Monza,Italy,20,20,1,53,42.0,2.1,6.0,2.92,31,3,33.1,49.3,32.3,1.5,0.0,False,5.793,11,permanent,1.55,0
2024,17,Azerbaijan Grand Prix,Baku,Azerbaijan,20,20,4,51,88.0,4.4,11.0,6.55,24,3,26.7,44.3,38.0,1.6,0.0,False,6.003,20,street,1.2,1
2024,18,Singapore Grand Prix,Marina Bay,Singapore,20,20,2,62,54.0,2.7,5.0,3.49,25,3,30.8,36.4,74.7,1.0,0.0,False,4.94,23,street,1.25,0
2024,19,United States Grand Prix,Austin,United States,20,20,1,56,76.0,3.8,14.0,5.16,23,3,28.1,46.6,35.5,1.5,0.0,False,5.513,20,permanent,1.15,0
2024,20,Mexico City Grand Prix,Mexico City,Mexico,20,19,3,71,61.0,3.21,9.0,4.54,22,3,19.9,35.6,51.1,2.2,0.0,False,4.304,17,permanent,1.1,0
2024,21,São Paulo Grand Prix,São Paulo,Brazil,20,20,5,69,90.0,4.5,16.0,6.14,36,2,21.7,25.8,85.3,0.7,0.582,True,4.309,15,permanent,1.8,1
2024,22,Las Vegas Grand Prix,Las Vegas,United States,20,20,2,50,60.0,3.0,8.0,5.13,41,3,17.8,17.7,47.9,2.9,0.0,False,6.201,17,street,2.05,0
2024,23,Qatar Grand Prix,Lusail,Qatar,20,20,5,57,54.0,2.7,6.0,3.64,61,3,18.9,22.8,57.3,1.7,0.0,False,5.38,16,permanent,3.05,0
2024,24,Abu Dhabi Grand Prix,Yas Island,United Arab Emirates,20,20,4,58,84.0,4.2,16.0,6.27,30,3,26.8,31.8,51.4,1.9,0.0,False,5.281,16,permanent,1.5,0
